protein name	count
7-dehydrocholesterol reductase	1
ADP ribosylation factor like 3	1
Activating transcription factor 2	1
Ataxin 10	1
BIN2	1
CBL	1
Cask-interacting protein 2	1
Chromosome 6 open reading frame 93	1
Cyclin L1	1
Cylindromatosis gene protein	1
DEF6	1
DKFZP434P1750 protein	2
Dedicator of cytokinesis 7	1
Desmoglein 2	1
ERF	3
ETS1	1
Ena vasodilator stimulated phosphoprotein like protein	2
Erbin	1
Erythrocyte membrane protein band 4.1	1
Eukaryotic translation initiation factor 6	1
Exocyst complex component 4	1
Fodrin beta	1
G protein coupled purinergic receptor P2Y8	1
GTPase activating Rap/RanGAP domain like 4	1
Grb4	1
Histone deacetylase 4	1
Interferon regulatory factor 3	2
Janus kinase 3	1
LOC388974	1
NUP98	1
Osteoclast stimulating factor 1	1
PA2G4	1
PAK2	2
PHD finger protein 14	1
Phospholipase C, gamma 1	1
Pleckstrin homology domain interacting protein	1
Protein kinase C, eta	1
Protein kinase D2	2
Protein kinase substrate MK2S4	1
R3H domain protein 1	1
RNA binding motif protein 14	1
RNA binding motif protein 34	1
Rabaptin 5	1
Rho guanine nucleotide exchange factor 1	1
Rho guanine nucleotide exchange factor 2	2
Rho guanine nucleotide exchange factor 6	1
Rho specific guanine nucleotide exchange factor p114	1
Ribosomal protein S6 kinase, 70kDa, polypeptide 1	1
Ribosomal protein, large, P1	1
SIN3A	2
SIT	1
SRP72	1
SRRM2	1
STAT3	3
STAT4	1
Sex comb on midleg like 2	3
Sialophorin	1
Sperm associated antigen 9	1
Splicing factor, arginine/serine-rich 6	1
Symplekin	1
TBC1 domain family member 15 (Fragment)	2
TRAF3-interacting JNK-activating modulator	1
TSC22 domain family 4	1
Zinc and ring finger 2	1
Zinc finger CCCH-type antiviral protein 1	1
p21 activated kinase 4	1
